date,prize,num_competition,submission,isHoliday,사용자,세션,신규방문자,페이지뷰
2018-09-09,850.0,1.0,71.0,1,281,266,73,1826
2018-09-10,850.0,1.0,74.0,0,264,247,51,2092
2018-09-11,850.0,1.5,94.0,0,329,310,58,1998
2018-09-12,850.0,1.5,93.0,0,300,287,45,2595
2018-09-13,850.0,1.5,94.0,0,378,344,50,3845
2018-09-14,0.0,0.0,19.0,0,343,317,57,3283
2018-09-15,350.0,1.0,34.0,1,210,202,40,1384
2018-09-16,350.0,1.0,38.0,1,202,196,30,1472
2018-09-17,350.0,1.0,52.0,0,331,302,69,3088
2018-09-18,350.0,1.0,59.0,0,333,313,72,2667
2018-09-19,350.0,1.0,50.0,0,241,220,37,1592
2018-09-20,350.0,1.0,55.0,0,292,283,88,1495
2018-09-21,350.0,1.0,57.0,0,208,197,51,1527
2018-09-22,350.0,1.0,46.0,1,194,184,65,955
2018-09-23,350.0,1.0,30.0,1,161,156,36,1042
2018-09-24,350.0,1.0,35.0,1,121,107,19,666
2018-09-25,350.0,1.0,28.0,1,112,111,15,524
2018-09-26,350.0,1.0,47.0,1,161,155,22,1046
2018-09-27,350.0,1.0,41.0,0,177,168,43,983
2018-09-28,350.0,1.0,33.0,0,123,118,33,654
2018-09-29,350.0,1.0,18.0,1,99,95,25,378
2018-09-30,350.0,1.0,21.0,1,121,117,60,431
2018-10-01,350.0,1.0,11.0,0,111,110,35,409
2018-10-02,350.0,1.0,10.0,0,102,95,27,468
2018-10-03,350.0,1.0,10.0,1,87,84,32,384
2018-10-04,350.0,1.0,16.0,0,84,78,27,474
2018-10-05,350.0,1.0,24.0,0,123,117,38,839
2018-10-06,350.0,1.0,8.0,1,78,75,22,341
2018-10-07,350.0,1.0,8.0,1,100,97,52,481
2018-10-08,350.0,1.0,5.0,0,69,68,24,245
2018-10-09,350.0,1.0,3.0,1,54,54,23,215
2018-10-10,350.0,1.0,12.0,0,91,85,29,550
2018-10-11,350.0,1.5,18.0,0,78,74,21,481
2018-10-12,350.0,1.5,18.0,0,102,99,34,470
2018-10-13,350.0,1.5,24.0,1,106,102,23,677
2018-10-14,0.0,0.0,3.0,1,170,163,24,1021
2018-10-15,0.0,0.0,0.0,0,229,227,55,1427
2018-10-16,0.0,0.0,1.0,0,189,183,69,1813
2018-10-17,0.0,0.0,7.0,0,623,618,369,3896
2018-10-18,1000.0,1.0,3.0,0,258,257,116,1394
2018-10-19,1000.0,1.0,9.0,0,208,207,80,1198
2018-10-20,1000.0,1.0,8.0,1,168,166,72,792
2018-10-21,1000.0,1.0,4.0,1,162,164,54,1347
2018-10-22,1000.0,1.0,4.0,0,182,195,65,1255
2018-10-23,1000.0,1.0,10.0,0,210,230,95,1275
2018-10-24,1000.0,1.0,14.0,0,163,166,63,767
2018-10-25,1000.0,1.0,10.0,0,138,146,37,736
2018-10-26,1000.0,1.0,13.0,0,143,152,34,811
2018-10-27,1000.0,1.0,11.0,1,72,71,18,335
2018-10-28,1000.0,1.0,15.0,1,88,88,19,538
2018-10-29,1000.0,1.0,12.0,0,127,133,25,1304
2018-10-30,1000.0,1.0,24.0,0,147,150,36,1130
2018-10-31,1000.0,1.0,23.0,0,161,158,27,1126
2018-11-01,1000.0,1.0,19.0,0,112,118,22,748
2018-11-02,1000.0,1.0,23.0,0,119,124,19,867
2018-11-03,1000.0,1.0,13.0,1,69,71,17,352
2018-11-04,1000.0,1.0,30.0,1,94,97,11,730
2018-11-05,1000.0,1.0,13.0,0,125,121,25,1116
2018-11-06,1000.0,1.0,12.0,0,152,151,35,1427
2018-11-07,1000.0,1.0,16.0,0,118,113,29,797
2018-11-08,1000.0,1.0,3.0,0,133,133,47,750
2018-11-09,1000.0,1.0,14.0,0,132,131,39,934
2018-11-10,1000.0,1.0,13.0,1,132,127,60,981
2018-11-11,1000.0,1.0,6.0,1,142,136,56,1445
2018-11-12,1000.0,1.0,8.0,0,369,386,197,3402
2018-11-13,1800.0,2.0,12.0,0,415,432,179,3226
2018-11-14,1800.0,2.0,14.0,0,399,417,196,2475
2018-11-15,1800.0,2.0,16.0,0,279,288,120,1821
2018-11-16,1800.0,2.0,17.0,0,307,317,162,1798
2018-11-17,1800.0,2.0,14.0,1,354,360,204,2378
2018-11-18,1800.0,2.0,29.0,1,174,175,59,1663
2018-11-19,1800.0,2.0,31.0,0,301,308,112,2630
2018-11-20,1800.0,2.0,35.0,0,331,336,156,1968
2018-11-21,1800.0,2.0,27.0,0,225,231,62,1986
2018-11-22,1800.0,2.0,44.0,0,280,278,107,2553
2018-11-23,1800.0,2.0,36.0,0,221,226,49,2019
2018-11-24,1800.0,2.0,27.0,1,149,153,41,1372
2018-11-25,1800.0,2.0,31.0,1,166,172,50,1169
2018-11-26,1800.0,2.0,34.0,0,275,279,86,2139
2018-11-27,1800.0,2.0,53.0,0,326,323,123,2668
2018-11-28,1800.0,2.0,57.0,0,335,336,135,2498
2018-11-29,1800.0,2.0,44.0,0,247,251,67,1770
2018-11-30,1800.0,2.0,47.0,0,186,192,56,1465
2018-12-01,1800.0,2.0,25.0,1,131,127,34,1093
